道歉,dào qiàn,"to apologize; to make an apology",道歉,dou6 hip3,dou6 hip3,douh hip,4
得,dé,"to have to, to need to (particle used to express capability, possibility, degree, effect...); must; ought to; to need to",得,dak1,dak1,dāk,4
得意,dé yì,"proud of oneself; pleased with oneself; complacent",得意,dak1 yi3,dak1 ji3,dāk yi,4
登机牌,dēng jī pái,"boarding pass",登機牌,dang1 gei1 paai4,dang1 gei1 paai4,dāng gēi pàaih,4
等,děng,"etc (indicating the end of an enumeration)",等,dang2,dang2,dáng,4
低,dī,"low; beneath; to lower (one's head); to let droop; to hang down; to incline",低,dai1,dai1,dāi,4
底,dǐ,"background; bottom; base; the end of a period of time; towards the end of (last month)",底,dai2,dai2,dái,4
地点,dì diǎn,"place; site; location; venue; CL:個|个[ge4];",地點,dei6 dim2,dei6 dim2,deih dím,4
地球,dì qiú,"the Earth; planet; CL:个",地球,dei6 kau4,dei6 kau4,deih kàuh,4
地址,dì zhǐ,"address; CL:个",地址,dei6 ji2,dei6 zi2,deih jí,4
掉,diào,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair)",掉,diu6,diu6,diuh,4
调查,diào chá,"investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:项[xiang4] ,个",調查,diu6 cha4,diu6 caa4,diuh chàh,4
丢,diū,"to lose; to put aside; to throw",丟,diu1,diu1,dīu,4
动作,dòng zuò,"movement; motion; action; CL:个",動作,dung6 jok3,dung6 zok3,duhng jok,4
堵车,dǔ chē,"traffic jam; choking",堵車,dou2 che1,dou2 ce1,dóu chē,4
肚子,dù zi,"belly; abdomen; stomach; CL:个",肚子,tou5 ji2,tou5 zi2,tóuh jí,4
短信,duǎn xìn,"text message; SMS",短信,dyun2 seun3,dyun2 seon3,dyún seun,4
对话,duì huà,"dialog; CL:个",對話,deui3 wa6,deoi3 waa6,deui wah,4
对面,duì miàn,"opposite",對面,deui3 min6,deoi3 min6,deui mihn,4
对于,duì yú,"regarding; as far as sth is concerned; with regards to",對于,deui3 yu1,deoi3 jyu1,deui yū,4
儿童,ér tóng,"child; CL:个",兒童,yi4 tung4,ji4 tung4,yìh tùhng,4
而,ér,"yet (not); and; as well as; and so; but (not); (indicates causal relation); (indicates change of state); (indicates contrast)",而,yi4,ji4,yìh,4
发生,fā shēng,"to happen; to occur; to take place; to break out",發生,faat3 sang1,faat3 sang1,faat sāng,4
发展,fā zhǎn,"development; growth; to develop; to grow; to expand",發展,faat3 jin2,faat3 zin2,faat jín,4
法律,fǎ lǜ,"law; CL:条[tiao2] , 套[tao4] , 个",法律,faat3 leut6,faat3 leot6,faat leuht,4
翻译,fān yì,"to translate; to interpret; translator; interpreter; translation; interpretation; CL:个,位[wei4] ,名[ming2]",翻譯,faan1 yik6,faan1 jik6,fāan yihk,4
烦恼,fán nǎo,"agonize; agony; annoyance; upset; vexation; worries",煩惱,faan4 nou5,faan4 nou5,fàahn nóuh,4
反对,fǎn duì,"to fight against; to oppose; to be opposed to; opposition",反對,faan2 deui3,faan2 deoi3,fáan deui,4
方法,fāng fǎ,"method; way; means; CL:个",方法,fong1 faat3,fong1 faat3,fōng faat,4
方面,fāng miàn,"respect; aspect; field; side; CL:个",方面,fong1 min6,fong1 min6,fōng mihn,4
方向,fāng xiàng,"direction; orientation; path to follow; CL:个",方向,fong1 heung3,fong1 hoeng3,fōng heung,4
房东,fáng dōng,"landlord",房東,fong2 dung1,fong2 dung1,fóng dūng,4
放弃,fàng qì,"to renounce; to abandon; to give up",放棄,fong3 hei3,fong3 hei3,fong hei,4
放暑假,fàng shǔ jià,"take summer vacation",放暑假,fong3 syu2 ga3,fong3 syu2 gaa3,fong syú ga,4
放松,fàng sōng,"to loosen; to relax",放松,fong3 sung1,fong3 sung1,fong sūng,4
